Match ID,League,Start Date/Time,Match Length,Duration (secs),Kills Score,Winner,Radiant Team,Dire Team
4986461644,10749,25 Aug 2019 01:50,0:24:34,1474,20-11,Radiant,2586976,2163
4986362254,10749,25 Aug 2019 12:54,0:23:23,1403,11-36,Dire,2163,2586976
4986260666,10749,25 Aug 2019 11:51,0:32:25,1945,11-40,Dire,2163,2586976
4986133311,10749,25 Aug 2019 10:33,0:48:34,2914,33-24,Radiant,2163,2586976
4985891168,10749,25 Aug 2019 08:12,0:36:34,2194,8-30,Dire,15,2163
4985787596,10749,25 Aug 2019 06:42,0:59:05,3545,31-29,Radiant,2163,15
4985705053,10749,25 Aug 2019 05:17,0:52:23,3143,18-38,Dire,2163,15
4984038549,10749,24 Aug 2019 11:17,0:39:58,2398,10-25,Dire,1838315,2163
4983935086,10749,24 Aug 2019 10:18,0:27:42,1662,26-8,Radiant,2163,1838315
4983800597,10749,24 Aug 2019 08:45,0:41:49,2509,22-29,Radiant,2586976,15
4983729131,10749,24 Aug 2019 07:51,0:22:27,1347,9-23,Dire,15,2586976
4983628610,10749,24 Aug 2019 06:19,0:44:47,2687,20-27,Dire,2586976,15
4983550247,10749,24 Aug 2019 05:08,0:21:52,1312,20-8,Radiant,1838315,726228
4983489657,10749,24 Aug 2019 04:09,0:23:32,1412,5-23,Dire,726228,1838315
4982200558,10749,23 Aug 2019 11:28,0:30:43,1843,33-10,Radiant,2163,39
4982103916,10749,23 Aug 2019 10:12,0:43:40,2620,23-21,Radiant,2163,39
4982005618,10749,23 Aug 2019 08:53,0:34:19,2059,38-10,Radiant,1838315,2672298
4981912277,10749,23 Aug 2019 07:22,0:57:51,3471,25-52,Dire,2672298,1838315
4981810133,10749,23 Aug 2019 05:21,1:18:05,4685,52-35,Radiant,2163,6209804
4981755910,10749,23 Aug 2019 04:13,0:35:24,2124,15-25,Dire,6209804,2163
4981028582,10749,22 Aug 2019 04:52,0:27:54,1674,23-15,Radiant,2586976,39
4980888053,10749,22 Aug 2019 03:35,0:42:03,2523,36-20,Radiant,2586976,39
4980773381,10749,22 Aug 2019 02:32,0:30:44,1844,26-8,Radiant,39,2586976
4980637380,10749,22 Aug 2019 01:05,0:42:41,2561,19-26,Dire,726228,15
4980541717,10749,22 Aug 2019 11:50,0:42:10,2530,13-20,Dire,726228,15
4980430921,10749,22 Aug 2019 10:18,0:46:51,2811,18-29,Dire,543897,1838315
4980333085,10749,22 Aug 2019 08:52,0:53:42,3222,36-28,Radiant,543897,1838315
4980260521,10749,22 Aug 2019 07:42,0:35:39,2139,29-29,Dire,543897,1838315
4980183695,10749,22 Aug 2019 06:21,0:40:01,2401,20-28,Dire,6214538,2672298
4980123889,10749,22 Aug 2019 05:08,0:40:28,2428,10-31,Dire,2672298,6214538
4980079753,10749,22 Aug 2019 04:10,0:25:20,1520,13-23,Dire,6214538,2672298
4979109318,10749,21 Aug 2019 02:39,0:45:50,2750,22-19,Radiant,2163,2108395
4978988612,10749,21 Aug 2019 01:28,0:33:00,1980,14-21,Dire,2108395,2163
4978884253,10749,21 Aug 2019 12:16,0:32:59,1979,20-16,Radiant,6209804,1883502
4978802370,10749,21 Aug 2019 11:12,0:29:49,1789,22-20,Radiant,6209804,1883502
4978701632,10749,21 Aug 2019 09:50,0:41:43,2503,14-26,Dire,1838315,39
4978587076,10749,21 Aug 2019 08:04,1:03:10,3790,29-29,Dire,39,1838315
4978505997,10749,21 Aug 2019 06:42,0:48:24,2904,12-40,Dire,1838315,39
4978435281,10749,21 Aug 2019 05:22,0:34:13,2053,16-35,Dire,6214538,2586976
4978383071,10749,21 Aug 2019 04:18,0:27:33,1653,8-23,Dire,6214538,2586976
4977648828,10749,20 Aug 2019 04:36,1:00:53,3653,20-35,Dire,36,543897
4977501535,10749,20 Aug 2019 03:20,0:34:24,2064,13-21,Dire,2626685,2672298
4977344912,10749,20 Aug 2019 01:51,0:40:41,2441,25-16,Radiant,2163,350190
4977207666,10749,20 Aug 2019 12:12,0:43:17,2597,21-24,Radiant,6209804,111474
4977114097,10749,20 Aug 2019 10:50,0:34:42,2082,6-25,Dire,2108395,726228
